sec_sch,sec_sch_long,sec_sch_lat
SPRINGFIELD SECONDARY SCHOOL,103.930354460693,1.34957303471476
SWISS COTTAGE SECONDARY SCHOOL,103.750396136688,1.36471742697475
HOUGANG SECONDARY SCHOOL,103.882533963338,1.37764019332164
ANDERSON SECONDARY SCHOOL,103.851554107068,1.37434001701177
HILLGROVE SECONDARY SCHOOL,103.752986488399,1.35273576615912
MERIDIAN SECONDARY SCHOOL,103.948972483629,1.3672468492013
KRANJI SECONDARY SCHOOL,103.741190664845,1.39005109871311
DEYI SECONDARY SCHOOL,103.852545772422,1.36599702567717
PASIR RIS CREST SECONDARY SCHOOL,103.959728202919,1.37284060102246
CHANGKAT CHANGI SECONDARY SCHOOL,103.953245525564,1.33950630072876
CREST SECONDARY SCHOOL,103.742628105304,1.3431198045076
ANG MO KIO SECONDARY SCHOOL,103.842154973672,1.36733710171069
MAYFLOWER SECONDARY SCHOOL,103.835360726863,1.36827266209722
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,103.855365171957,1.3500756234832
GUANGYANG SECONDARY SCHOOL,103.850208933626,1.34440856042912
QUEENSTOWN SECONDARY SCHOOL,103.813190980055,1.29352126774652
BEDOK SOUTH SECONDARY SCHOOL,103.950989139261,1.32513655159184
SAINT MARGARET'S SECONDARY SCHOOL,103.80995114006,1.32006821363359
SAINT GABRIEL'S SECONDARY SCHOOL,103.875808419206,1.34638285704974
SAINT ANTHONY'S CANOSSIAN SECONDARY SCHOOL,103.941977166932,1.33466313498855
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),103.885120050588,1.35096755912522
SERANGOON GARDEN SECONDARY SCHOOL,103.869270301476,1.36932570490947
PEICAI SECONDARY SCHOOL,103.870010749055,1.35951583222214
SENG KANG SECONDARY SCHOOL,103.898365036709,1.38659683143747
SEMBAWANG SECONDARY SCHOOL,103.816843258118,1.44531502131387
CANBERRA SECONDARY SCHOOL,103.814203583818,1.45319086315972
PUNGGOL SECONDARY SCHOOL,103.909213706482,1.40205738421399
GREENDALE SECONDARY SCHOOL,103.91170014084,1.39696019936894
EDGEFIELD SECONDARY SCHOOL,103.902687385465,1.40059309981824
PEI HWA SECONDARY SCHOOL,103.878461745339,1.39037504993234
MARSILING SECONDARY SCHOOL,103.776008090454,1.43664424769955
REGENT SECONDARY SCHOOL,103.751034411529,1.39327908335682
GREENRIDGE SECONDARY SCHOOL,103.773828466913,1.38186433722811
FAJAR SECONDARY SCHOOL,103.763998914082,1.375600053443
JURONGVILLE SECONDARY SCHOOL,103.728907710089,1.35128862770284
BOWEN SECONDARY SCHOOL,103.877659577677,1.37035994436209
COMPASSVALE SECONDARY SCHOOL,103.899847164494,1.39614083952009
MONTFORT SECONDARY SCHOOL,103.888928609198,1.37396126564931
BARTLEY SECONDARY SCHOOL,103.882806211705,1.33995415587811
DAMAI SECONDARY SCHOOL,103.927091653438,1.33692798510393
BEDOK GREEN SECONDARY SCHOOL,103.935028383346,1.33451947288431
BROADRICK SECONDARY SCHOOL,103.886917922608,1.30705061123433
CEDAR GIRLS' SECONDARY SCHOOL,103.873933064886,1.33375800216334
BUKIT MERAH SECONDARY SCHOOL,103.813438929393,1.28569283064288
QUEENSWAY SECONDARY SCHOOL,103.802207291625,1.30022271592188
GEYLANG METHODIST SCHOOL (SECONDARY),103.882661129303,1.31764900474601
RAFFLES GIRLS' SCHOOL (SECONDARY),103.84313404727,1.34217479932295
FAIRFIELD METHODIST SCHOOL (SECONDARY),103.784099647149,1.30163374395823
HONG KAH SECONDARY SCHOOL,103.727083852629,1.35166667056342
SENGKANG SECONDARY SCHOOL,103.898365549236,1.38652129134849
